Number,Code Name,Description,Citations,URLs
1,14-3-3 code,The 14-3-3 Protein (Phosphorylation Code) SEE also Phosphorylation Code,"Winter, S., Simboeck, E., Fischle, W., Zupkovitz, G., Dohnal, I., Mechtler, K., . . . Seiser, C. (2008). 14-3- 3 Proteins recognize a histone code at histone H3 and are required for transcriptional activation. Embo j, 27(1), 88-99.","[""https://doi.org/10.1038/sj.emboj.7601954"", ""https://link.springer.com/article/10.1007/s12304-014-9213-0""]"
2,Acoustic code,The Acoustic Codes,"Farina, A. and N. Pieretti (2014). ""Acoustic Codes in Action in a Soundscape Context."" Biosemiotics 7(2): 321-328. Malavasi, R., K. Kull and A. Farina (2014). ""The Acoustic Codes: How Animal Sign Processes Create Sound-Topes and Consortia via Conflict Avoidance."" Biosemiotics 7(1): 89-95. Curé, C., N. Mathevon and T. Aubin (2016). ""Mate vocal recognition in the Scopoli's shearwater Calonectris diomedea: do females and males share the same acoustic code?"" Behav Processes 128: 96-102. Farina, A. (2018). ""Ecoacoustic codes and ecological complexity."" Biosystems 164: 147-154. Farina, A. (2019). ""Acoustic codes from a rural sanctuary: How ecoacoustic events operate across a landscape scale."" Biosystems 183: 103986. Farina, A., & Villa, A. E. P. (2023). On the semantics of ecoacoustic codes. Biosystems, 232, 105002.","[""https://doi.org/10.1016/j.biosystems.2023.105002"", ""https://journals.biologists.com/jcs/article/131/9/jcs215509/57120/The-makings-of-the-actin-code-regulation-of-actin"", ""https://link.springer.com/article/10.1007/s12304-013-9177-5"", ""https://link.springer.com/article/10.1007/s12304-014-9213-0"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264717302228"", ""https://www.sciencedirect.com/science/article/abs/pii/S030326471930156X"", ""https://www.sciencedirect.com/science/article/abs/pii/S0376635716300912""]"
3,Actin code,The Actin Code SEE also Cytoskeleton Code,"Vedula, P. and A. Kashina (2018). ""The makings of the 'actin code': regulation of actin's biological function at the amino acid and nucleotide level."" J Cell Sci 131(9). A, M., Latario, C. J., Pickrell, L. E., & Higgs, H. N. (2020). Lysine acetylation of cytoskeletal proteins: Emergence of an actin code. Journal of Cell Biology, 219(12).","[""https://doi.org/10.1083/jcb.202006151"", ""https://journals.biologists.com/jcs/article/131/9/jcs215509/57120/The-makings-of-the-actin-code-regulation-of-actin"", ""https://linkinghub.elsevier.com/retrieve/pii/S1074-5521(99)80082-9""]"
4,Adenylation code,The Adenylation Code,"Stachelhaus, T., H. D. Mootz and M. A. Marahiel (1999). ""The specificity-conferring code of adenylation domains in nonribosomal peptide synthetases."" Chem Biol 6(8): 493-505. Davis, R. and Y. Shi (2014). ""The polyadenylation code: a unified model for the regulation of mRNA alternative polyadenylation."" J Zhejiang UnivSci B 15(5): 429-437. Zhang, F., Y. Wang, Q. Jiang, Q. Chen, L. Karthik, Y.-L. Zhao and Z. Li (2018). ""Substrate selection of adenylation domains for nonribosomal peptide synthetase (NRPS) in bacillamide C biosynthesis by marine Bacillus atrophaeus C89."" Journal of Industrial Microbiology & Biotechnology 45(5): 335-344.","[""https://academic.oup.com/jimb/article/45/5/335/5996667"", ""https://link.springer.com/article/10.1631/jzus.B1400076"", ""https://linkinghub.elsevier.com/retrieve/pii/S1074-5521(99)80082-9""]"
5,Adhesion code,The Adhesion Code SEE also Synaptic code(s) SEE also Cadherin code(s),"Bedzhov, I., Alotaibi, H., Basilicata, M. F., Ahlborn, K., Liszewska, E., Brabletz, T., & Stemmler, M. P. (2013). Adhesion, but not a specific cadherin code, is indispensable for ES cell and induced pluripotency. Stem Cell Research, 11(3), 1250-1263. Faria, M. (2018). “Aggregating, polarizing, networking – The evolution of cell adhesion codes.” Biosystems 164: 60-67. Tsai, T. Y., M. Sikora, P. Xia, T. Colak-Champollion, H. Knaut, C. P. Heisenberg and S. G. Megason (2020). ""An adhesion code ensures robust pattern formation during tissue morphogenesis."" Science 370(6512): 113-116. Ferreira-Pinto, M., Aguilar-Aragón, M., Rhiner, C., & Moreno, E. (2026). Hbs and Rst adhesion molecules provide a regional code that regulates cell elimination during epithelial remodeling. iScience, 29(3). Ko, J. (2026). A decade of discovery: Deciphering the synaptic adhesion code. Mol Cells, 49(5), 100341.","[""https://doi.org/10.1016/j.isci.2026.114971"", ""https://doi.org/10.1016/j.mocell.2026.100341"", ""https://doi.org/10.1016/j.scr.2013.08.009"", ""https://doi.org/10.1126/science.1553532"", ""https://www.science.org/doi/10.1126/science.aba6637"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264717302800""]"
6,Allosteric code -A (hemoglobin),The Allosteric Code Hemoglobin,"Ackers, G. K., Doyle, M. L., Myers, D., & Daugherty, M. A. (1992). Molecular Code for Cooperativity in Hemoglobin. Science, 255(5040), 54-63. Edelstein, S. J. (1996). ""An allosteric theory for hemoglobin incorporating asymmetric states to test the putative molecular code for cooperativity."" J Mol Biol 257(4): 737-744. Ackers, G. K. (1998). Deciphering the Molecular Code of Hemoglobin Allostery. In E. Di Cera (Ed.), Advances in Protein Chemistry (Vol. 51, pp. 185-253). Academic Press. Daugherty, M. A., M. A. Shea, J. A. Johnson, V. J. LiCata, G. J. Turner and G. K. Ackers (1991). ""Identification of the intermediate allosteric species in human hemoglobin reveals a molecular code for cooperative switching."" Proc Natl Acad Sci U S A 88(4): 1110-1114. Goldbeck, R. A., Esquerra, R. M., Holt, J. M., Ackers, G. K., & Kliger, D. S. (2004). The molecular code for hemoglobin allostery revealed by linking the thermodynamics and kinetics of quaternary structural change. 1. Microstate linear free energy relations. Biochemistry, 43(38), 12048-12064. Goldbeck, R. A., R. M. Esquerra, D. S. Kliger, J. M. Holt and G. K. Ackers (2004). ""The molecular code for hemoglobin allostery revealed by linking the thermodynamics and kinetics of quaternary structural change. 2. Cooperative free energies of (alphaFeCObetaFe)2 and (alphaFebetaFeCO)2 T- state tetramers."" Biochemistry 43(38): 12065-12080.","[""https://doi.org/10.1016/S0065-3233(08)60653-1"", ""https://doi.org/10.1021/bi049393v"", ""https://doi.org/10.1126/science.1553532"", ""https://pubs.acs.org/doi/10.1021/bi0493923"", ""https://www.pnas.org/doi/10.1073/pnas.88.4.1110"", ""https://www.sciencedirect.com/science/article/abs/pii/S0022283696901989""]"
7,Allosteric code -B (miscellaneous),The Allosteric Code Miscellaneous,"Armour-Garb, I., I. S. M. Han, B. S. Cowan and K. M. Thayer (2022). “Variable Regions of p53 Isoforms Allosterically Hard Code DNA Interaction.” J Phys Chem B.","[""https://journals.lww.com/nrronline/fulltext/2026/06000/lymphatic_venous_anastomosis__cracking_the_code_of.48.aspx"", ""https://pubs.acs.org/doi/10.1021/acs.jpcb.2c06229""]"
8,Alzheimer´s code,The Alzheimer´s Disease Code,"Fan, F., Zhao, N., & Guo, M. (2026). Lymphatic–venous anastomosis: Cracking the code of Alzheimer’s disease treatment? Neural Regen Res, 21(6).","[""https://doi.org/10.1038/s41594-026-01792-w"", ""https://journals.lww.com/nrronline/fulltext/2026/06000/lymphatic_venous_anastomosis__cracking_the_code_of.48.aspx""]"
9,Amyloid code,The Amyloid Fibril Code SEE also Prion Code,"Lashuel, H. A. (2026). Cracking the code of native amyloid fibrils: advances and next steps to enable pathology-informed therapeutic and diagnostic. Nat Struct Mol Biol, 33(4), 567-576.","[""https://doi.org/10.1038/s41594-026-01792-w"", ""https://www.cell.com/structure/fulltext/S0969-2126(20)30076-9""]"
10,Angiotensin code,The Angiotensin Receptor Code,"Sadybekov, A. and V. Katritch (2020). ""Breaking the Enigma Code of Angiotensin II Type 2 Receptor Signaling."" Structure 28(4): 390-392.","[""https://doi.org/10.1093/eurheartj/ehl322"", ""https://www.cell.com/structure/fulltext/S0969-2126(20)30076-9""]"
