Code Number,Code Name,Paper Name,URL,Reason
2,Acoustic code,"Farina, A. and N. Pieretti (2014). ""Acoustic Codes in Action in a Soundscape Context."" Biosemiotics 7(2): 321-328.",https://link.springer.com/article/10.1007/s12304-014-9213-0,no working OA PDF (paywalled or links unreachable)
2,Acoustic code,"Malavasi, R., K. Kull and A. Farina (2014). ""The Acoustic Codes: How Animal Sign Processes Create Sound-Topes and Consortia via Conflict Avoidance."" Biosemiotics 7(1): 89-95.",https://link.springer.com/article/10.1007/s12304-013-9177-5,no working OA PDF (paywalled or links unreachable)
2,Acoustic code,"Farina, A., & Villa, A. E. P. (2023). On the semantics of ecoacoustic codes. Biosystems, 232, 105002.",https://doi.org/10.1016/j.biosystems.2023.105002,no working OA PDF (paywalled or links unreachable)
3,Actin code,"A, M., Latario, C. J., Pickrell, L. E., & Higgs, H. N. (2020). Lysine acetylation of cytoskeletal proteins: Emergence of an actin code. Journal of Cell Biology, 219(12).",https://doi.org/10.1083/jcb.202006151,no working OA PDF (paywalled or links unreachable)
5,Adhesion code,"Bedzhov, I., Alotaibi, H., Basilicata, M. F., Ahlborn, K., Liszewska, E., Brabletz, T., & Stemmler, M. P. (2013). Adhesion, but not a specific cadherin code, is indispensable for ES cell and induced pluripotency. Stem Cell Research, 11(3), 1250-1263.",https://doi.org/10.1016/j.scr.2013.08.009,no working OA PDF (paywalled or links unreachable)
5,Adhesion code,"Tsai, T. Y., M. Sikora, P. Xia, T. Colak-Champollion, H. Knaut, C. P. Heisenberg and S. G. Megason (2020). ""An adhesion code ensures robust pattern formation during tissue morphogenesis."" Science 370(6512): 113-116.",https://www.science.org/doi/10.1126/science.aba6637,no working OA PDF (paywalled or links unreachable)
5,Adhesion code,"Ferreira-Pinto, M., Aguilar-Aragón, M., Rhiner, C., & Moreno, E. (2026). Hbs and Rst adhesion molecules provide a regional code that regulates cell elimination during epithelial remodeling. iScience, 29(3).",https://doi.org/10.1016/j.isci.2026.114971,no working OA PDF (paywalled or links unreachable)
5,Adhesion code,"Ko, J. (2026). A decade of discovery: Deciphering the synaptic adhesion code. Mol Cells, 49(5), 100341.",https://doi.org/10.1016/j.mocell.2026.100341,no working OA PDF (paywalled or links unreachable)
6,Allosteric code -A (hemoglobin),"Ackers, G. K., Doyle, M. L., Myers, D., & Daugherty, M. A. (1992). Molecular Code for Cooperativity in Hemoglobin. Science, 255(5040), 54-63.",https://doi.org/10.1126/science.1553532,no working OA PDF (paywalled or links unreachable)
6,Allosteric code -A (hemoglobin),"Ackers, G. K. (1998). Deciphering the Molecular Code of Hemoglobin Allostery. In E. Di Cera (Ed.), Advances in Protein Chemistry (Vol. 51, pp. 185-253). Academic Press.",https://doi.org/10.1016/S0065-3233(08)60653-1,no working OA PDF (paywalled or links unreachable)
6,Allosteric code -A (hemoglobin),"Daugherty, M. A., M. A. Shea, J. A. Johnson, V. J. LiCata, G. J. Turner and G. K. Ackers (1991). ""Identification of the intermediate allosteric species in human hemoglobin reveals a molecular code for cooperative switching."" Proc Natl Acad Sci U S A 88(4): 1110-1114.",https://www.pnas.org/doi/10.1073/pnas.88.4.1110,no working OA PDF (paywalled or links unreachable)
6,Allosteric code -A (hemoglobin),"Goldbeck, R. A., Esquerra, R. M., Holt, J. M., Ackers, G. K., & Kliger, D. S. (2004). The molecular code for hemoglobin allostery revealed by linking the thermodynamics and kinetics of quaternary structural change. 1. Microstate linear free energy relations. Biochemistry, 43(38), 12048-12064.",https://doi.org/10.1021/bi049393v,no working OA PDF (paywalled or links unreachable)
6,Allosteric code -A (hemoglobin),"Goldbeck, R. A., R. M. Esquerra, D. S. Kliger, J. M. Holt and G. K. Ackers (2004). ""The molecular code for hemoglobin allostery revealed by linking the thermodynamics and kinetics of quaternary structural change. 2. Cooperative free energies of (alphaFeCObetaFe)2 and (alphaFebetaFeCO)2 T- state tetramers."" Biochemistry 43(38): 12065-12080.",https://pubs.acs.org/doi/10.1021/bi0493923,no working OA PDF (paywalled or links unreachable)
