code_number,code_name,n_papers,mean_mol,mean_art,mean_diff
211,Magnitude codes,1,-0.2991,0.1077,+0.4068
281,Oscillation code,1,-0.2871,0.0679,+0.3550
365,Spike code,3,-0.2652,0.0796,+0.3448
78,Cooperation codes,1,-0.2366,0.0899,+0.3265
240,Motor neuron code,4,-0.2447,0.0780,+0.3227
92,Decisional Codes,1,-0.2585,0.0593,+0.3178
29,Binaural code,2,-0.2610,0.0546,+0.3156
426,Vocal code,1,-0.2634,0.0506,+0.3139
91,Dance code (human),1,-0.0149,0.2940,+0.3088
126,Event codes,1,-0.1512,0.1551,+0.3063
424,Visual code,28,-0.2408,0.0618,+0.3027
248,Neural codes – A (general),8,-0.2342,0.0666,+0.3008
246,Navigation codes,2,-0.2543,0.0459,+0.3002
21,Auditory Code,20,-0.2595,0.0376,+0.2970
161,Hippocampal code,1,-0.2315,0.0649,+0.2964
249,Neural Code – B (motion),2,-0.2491,0.0434,+0.2925
251,Neural code – D (tactile),4,-0.2260,0.0593,+0.2853
250,Neural Code – C (perception & recognition),14,-0.2379,0.0401,+0.2781
200,Language code,2,-0.1605,0.1162,+0.2768
363,Speech code,2,-0.1644,0.1074,+0.2718
253,Neural code – F (phase codes),2,-0.2435,0.0244,+0.2679
393,Time code,1,-0.2752,-0.0083,+0.2668
71,Colour Code,1,-0.2118,0.0508,+0.2627
201,Latency code,1,-0.2266,0.0344,+0.2610
220,MeshCODE,1,-0.0956,0.1511,+0.2467
280,Orthographic code,2,-0.0231,0.2167,+0.2397
362,Spatial code,5,-0.2209,0.0154,+0.2364
371,Stress code,1,-0.1815,0.0458,+0.2273
331,Retina code,6,-0.2124,0.0145,+0.2269
85,Culture code,1,-0.0122,0.2102,+0.2224
87,Cybernetic code,1,-0.0597,0.1547,+0.2144
275,Olfactory code – A (general),15,-0.1985,0.0108,+0.2093
276,Olfactory code – B (specific),11,-0.1912,0.0061,+0.1973
40,Calcium code,1,-0.1633,0.0285,+0.1919
252,Neural code – E (specific),8,-0.1452,0.0451,+0.1903
24,Axon guidance code,1,-0.1087,0.0362,+0.1449
217,Membrane code,2,-0.1187,0.0260,+0.1447
390,Thermal code,1,-0.1216,0.0148,+0.1364
385,Taste code,2,-0.0709,0.0417,+0.1126
259,Neurotrophin code,1,-0.0906,0.0171,+0.1077
76,Compartment code,1,0.0879,0.1920,+0.1041
178,Identity code,1,-0.1044,-0.0044,+0.1000
355,Serotonin code,1,-0.1268,-0.0274,+0.0995
222,Metabolic code,2,-0.0172,0.0796,+0.0968
379,Surface code,1,-0.0757,0.0117,+0.0875
215,Melatonin codes,1,-0.0250,0.0550,+0.0800
247,Nerve growth code,1,-0.1122,-0.0435,+0.0687
177,Hypothalamic code,1,-0.0756,-0.0157,+0.0599
60,Circadian codes,1,-0.0376,0.0221,+0.0597
359,Social information code,1,-0.0718,-0.0130,+0.0588
0,Code Biology,4,0.1650,0.2218,+0.0568
287,Pattern code,2,-0.0282,0.0175,+0.0457
254,Neuroinflammation code,1,-0.0449,-0.0026,+0.0423
31,Bioelectric code,1,-0.0170,0.0253,+0.0423
218,Memory code,2,-0.0558,-0.0150,+0.0408
315,Proteolipid code,1,0.0092,0.0488,+0.0396
15,Apoptosis code,3,-0.0189,0.0187,+0.0376
187,Injury code,1,-0.0400,-0.0116,+0.0285
