code_number,code_name,n_papers,mean_mol,max_mol
141,Genetic code – D (alternative),8,0.6074,0.7142
140,Genetic Code – C (expanded),7,0.6002,0.7119
232,Mitochondrial genetic code,1,0.5889,0.5889
335,RNA code -C (operational),1,0.5233,0.5233
428,Wobbling code,2,0.5098,0.5315
407,tRNA code,4,0.4892,0.5752
142,"Genetic code, second",3,0.4840,0.6217
61,Circular ribosome code,1,0.4368,0.4368
139,Genetic code – B (research),3,0.4229,0.5297
423,Viral code,1,0.3843,0.3843
265,Non-ribosomal code,1,0.3600,0.3600
271,Nucleosome code,1,0.3592,0.3592
105,Domain code,1,0.3420,0.3420
333,RNA code -A (miscellaneous),6,0.3373,0.4147
403,Translation code,1,0.3336,0.3336
103,DNA damage code,1,0.2951,0.2951
340,RNA recognition code,4,0.2886,0.4433
305,Polyketide code,1,0.2859,0.2859
389,Terpene code,1,0.2845,0.2845
322,Rag GTPase dimer code,1,0.2830,0.2830
338,RNA editing/modification code,4,0.2792,0.3267
42,Cancer code – B (epigenetic),2,0.2789,0.3002
194,Karyotype code,1,0.2633,0.2633
327,Redox code,2,0.2557,0.3062
354,Serin code,1,0.2521,0.2521
122,Error correcting code,1,0.2468,0.2468
114,Epigenetic code – A (general),5,0.2456,0.2974
117,Epigenetic code – D (miscellaneous),4,0.2350,0.2622
198,Lactylation code,2,0.2312,0.2579
102,DNA-binding code,2,0.2290,0.2429
237,Molecular codes,2,0.2277,0.2453
336,RNA code -D (sno),1,0.2262,0.2262
58,Chromatin code,2,0.2244,0.3028
52,Centromere code,1,0.2231,0.2231
83,CTD code,1,0.2119,0.2119
162,Histone code – A (general),21,0.2113,0.3603
144,Genome regulatory code,1,0.2068,0.2068
364,Sperm code,2,0.2063,0.2306
321,Quorum sensing code,2,0.2047,0.2595
285,PAR code,1,0.2030,0.2030
70,Collagen code,2,0.2022,0.2101
288,Persistence code,1,0.1983,0.1983
432,Zip code -A (DNA),2,0.1913,0.2403
329,Repair code,3,0.1886,0.2210
339,RNAi code,1,0.1813,0.1813
197,Kinase code,1,0.1794,0.1794
396,Toll-like receptor codes,1,0.1753,0.1753
34,bHLH code,1,0.1752,0.1752
270,Nucleoprotein code,1,0.1746,0.1746
80,CRISPR code,1,0.1724,0.1724
0,Code Biology,4,0.1650,0.3735
145,Genomic code,2,0.1641,0.2068
411,Ubiquitin code,5,0.1632,0.2376
1,14-3-3 code,1,0.1615,0.1615
312,Protein code,1,0.1593,0.1593
4,Adenylation code,1,0.1571,0.1571
54,Chaperone code – A (general),2,0.1553,0.1862
115,Epigenetic code – B (stem cell),1,0.1551,0.1551
325,Recombination codes,1,0.1542,0.1542
155,Gut code,1,0.1508,0.1508
384,Targeting code,1,0.1483,0.1483
169,Histone sub-code,1,0.1474,0.1474
19,Assembly code,1,0.1455,0.1455
367,Splicing code,12,0.1453,0.3064
293,Phenotype code,1,0.1433,0.1433
44,Cancer resistance code,3,0.1427,0.1677
313,Protein folding code,2,0.1391,0.1514
233,Mitosis codes,2,0.1370,0.1891
375,Sugar code,8,0.1368,0.1967
334,RNA code -B (lnc),2,0.1284,0.1625
165,Histone code – D (readers),2,0.1272,0.1355
283,Osteoporosis code,1,0.1266,0.1266
318,QTY code,3,0.1208,0.1358
272,Nucleotide code,1,0.1152,0.1152
193,kappaB code,1,0.1151,0.1151
286,Palmitoylation code,1,0.1137,0.1137
314,Protein-protein interaction code,1,0.1131,0.1131
51,Cell wall code,1,0.1103,0.1103
150,Glycosylation code,3,0.1053,0.1150
209,Lymphoid ETS code,1,0.1033,0.1033
310,Prion code,2,0.1016,0.1433
230,miRNA codes,1,0.1010,0.1010
