code_number,pdf_path,polarity,tier,source,criterion,evidence
1,pdfs/10.1038_sj.emboj.7601954.pdf,pos,2,db,all,14-3-3 code · topic 18 Histonic Code
19,pdfs/10.7554_eLife.110152.pdf,pos,2,db,all,Assembly code · topic 12 Ubiquitination Code
20,pdfs/10.3389_fcell.2026.1762891.pdf,pos,2,db,all,ATG8 code · topic 12 Ubiquitination Code
24,pdfs/www.jneurosci.org_content_35_6_2596.long.pdf,pos,2,db,all,Axon guidance code · topic 14 Hox Code
51,pdfs/10.3389_fphgy.2023.1323899.pdf,pos,2,db,all,Cell wall code · topic 15 Signal Code
52,pdfs/10.1007_s10577-012-9293-0.pdf,pos,2,db,all,Centromere code · topic 18 Histonic Code
54,pdfs/10.1007_s12192-021-01240-2.pdf,pos,2,db,all,Chaperone code – A (general) · topic 5 Phosphorylation Code
54,pdfs/10.1016_j.cstres.2024.01.003.pdf,pos,2,db,all,Chaperone code – A (general) · topic 5 Phosphorylation Code
58,pdfs/10.1007_s00253-012-4208-8.pdf,pos,2,db,all,Chromatin code · topic 18 Histonic Code
58,pdfs/10.1186_s12915-015-0141-5.pdf,pos,2,db,all,Chromatin code · topic 18 Histonic Code
61,pdfs/rnajournal.cshlp.org_content_25_12_1714.long.pdf,pos,2,db,all,Circular ribosome code · topic 17 Prebiotic Code
70,pdfs/10.1038_s41467-018-06185-2.pdf,pos,2,db,all,Collagen code · topic 2 Binding Code
70,pdfs/10.1038_s41467-024-54046-y.pdf,pos,2,db,all,Collagen code · topic 2 Binding Code
80,pdfs/10.1021_acsphyschemau.2c00041.pdf,pos,2,db,all,CRISPR code · topic 2 Binding Code
83,pdfs/10.1261_rna.048181.114.pdf,pos,2,db,all,CTD code · topic 5 Phosphorylation Code
99,pdfs/10.1186_s12864-019-6072-8.pdf,pos,2,db,all,Differentiation code · topic 18 Histonic Code
102,pdfs/10.1038_s41598-026-44532-2.pdf,pos,2,db,all,DNA-binding code · topic 2 Binding Code
102,pdfs/10.1371_journal.pcbi.1000989.pdf,pos,2,db,all,DNA-binding code · topic 2 Binding Code
103,pdfs/10.1038_s41467-020-16722-7.pdf,pos,2,db,all,DNA damage code · topic 18 Histonic Code
105,pdfs/10.1021_acschembio.9b00532.pdf,pos,2,db,all,Domain code · topic 10 Synthetic Code
112,pdfs/10.1038_emboj.2011.266.pdf,pos,2,db,all,Endocytic code · topic 2 Binding Code
114,pdfs/10.1007_s42994-023-00101-z.pdf,pos,2,db,all,Epigenetic code – A (general) · topic 18 Histonic Code
114,pdfs/10.15252_msb.20167332.pdf,pos,2,db,all,Epigenetic code – A (general) · topic 18 Histonic Code
114,pdfs/10.1530_erc-12-0338.pdf,pos,2,db,all,Epigenetic code – A (general) · topic 18 Histonic Code
114,pdfs/10.15430_JCP.2017.22.4.211.pdf,pos,2,db,all,Epigenetic code – A (general) · topic 18 Histonic Code
114,pdfs/10.3389_fonc.2024.1499950.pdf,pos,2,db,all,Epigenetic code – A (general) · topic 18 Histonic Code
115,pdfs/10.3389_fdmed.2021.807046.pdf,pos,2,db,all,Epigenetic code – B (stem cell) · topic 18 Histonic Code
117,pdfs/10.1186_s13059-025-03808-y.pdf,pos,2,db,all,Epigenetic code – D (miscellaneous) · topic 18 Histonic Code
117,pdfs/10.1371_journal.pone.0043880.pdf,pos,2,db,all,Epigenetic code – D (miscellaneous) · topic 18 Histonic Code
117,pdfs/10.3389_fcell.2025.1666435.pdf,pos,2,db,all,Epigenetic code – D (miscellaneous) · topic 18 Histonic Code
117,pdfs/www.nature.com_articles_s41467-024-45295-y.pdf,pos,2,db,all,Epigenetic code – D (miscellaneous) · topic 18 Histonic Code
139,pdfs/10.1186_1745-6150-6-14.pdf,pos,2,db,all,Genetic code – B (research) · topic 3 Genetic Code
139,pdfs/jopir.in_index.php_journals_article_view_77.pdf,pos,2,db,all,Genetic code – B (research) · topic 3 Genetic Code
139,pdfs/www.ias.ac.in_article_fulltext_jbsc_047_0049.pdf,pos,2,db,all,Genetic code – B (research) · topic 3 Genetic Code
140,pdfs/10.1021_acscatal.9b05129.pdf,pos,2,db,all,Genetic Code – C (expanded) · topic 10 Synthetic Code
140,pdfs/10.1038_s41467-023-40529-x.pdf,pos,2,db,all,Genetic Code – C (expanded) · topic 10 Synthetic Code
140,pdfs/10.1038_s41467-025-63679-6.pdf,pos,2,db,all,Genetic Code – C (expanded) · topic 10 Synthetic Code
140,pdfs/10.2533_chimia.2024.22.pdf,pos,2,db,all,Genetic Code – C (expanded) · topic 10 Synthetic Code
140,pdfs/10.3389_fchem.2022.958433_full.pdf,pos,2,db,all,Genetic Code – C (expanded) · topic 10 Synthetic Code
140,pdfs/10.3389_fgene.2024.1373250.pdf,pos,2,db,all,Genetic Code – C (expanded) · topic 10 Synthetic Code
140,pdfs/10.3389_fgene.2024.1420331.pdf,pos,2,db,all,Genetic Code – C (expanded) · topic 10 Synthetic Code
141,pdfs/10.1002_j.1460-2075.1996.tb00581.x.pdf,pos,2,db,all,Genetic code – D (alternative) · topic 3 Genetic Code
141,pdfs/10.1016_j.crvi.2011.05.008.pdf,pos,2,db,all,Genetic code – D (alternative) · topic 3 Genetic Code
141,pdfs/10.1016_j.febslet.2009.11.066.pdf,pos,2,db,all,Genetic code – D (alternative) · topic 3 Genetic Code
141,pdfs/10.1038_nrmicro3073.pdf,pos,2,db,all,Genetic code – D (alternative) · topic 3 Genetic Code
141,pdfs/10.1073_pnas.1302094110.pdf,pos,2,db,all,Genetic code – D (alternative) · topic 3 Genetic Code
141,pdfs/10.1186_1471-2148-10-327.pdf,pos,2,db,all,Genetic code – D (alternative) · topic 3 Genetic Code
141,pdfs/10.1371_journal.pgen.1000565.pdf,pos,2,db,all,Genetic code – D (alternative) · topic 3 Genetic Code
141,pdfs/10.3389_fmicb.2022.1007832_full.pdf,pos,2,db,all,Genetic code – D (alternative) · topic 3 Genetic Code
142,pdfs/10.1007_s11427-013-4544-7.pdf,pos,2,db,all,"Genetic code, second · topic 3 Genetic Code"
142,pdfs/10.1038_s41467-019-12916-w.pdf,pos,2,db,all,"Genetic code, second · topic 3 Genetic Code"
142,pdfs/10.21275_SR251120184517.pdf,pos,2,db,all,"Genetic code, second · topic 3 Genetic Code"
144,pdfs/10.1038_s41598-022-06723-5.pdf,pos,2,db,all,Genome regulatory code · topic 10 Synthetic Code
146,pdfs/10.1038_srep22495.pdf,pos,2,db,all,Ghrelin code · topic 5 Phosphorylation Code
149,pdfs/10.3389_fimmu.2023.1120434_full.pdf,pos,2,db,all,Glycomic code · topic 7 Chemical Codes
150,pdfs/10.20892_j.issn.2095-3941.2024.0408.pdf,pos,2,db,all,Glycosylation code · topic 7 Chemical Codes
